Tempo_ms,Setpoint,LDR,Erro,PWM
0,600.00,0.00,600.00,21
50,600.00,116.00,484.00,7
100,600.00,65.00,535.00,14
150,600.00,122.00,478.00,14
200,600.00,142.00,458.00,16
250,600.00,148.00,452.00,19
301,600.00,185.00,415.00,20
351,600.00,178.00,422.00,23
401,600.00,212.00,388.00,24
451,600.00,221.00,379.00,26
514,600.00,250.00,350.00,27
564,600.00,254.00,346.00,29
614,600.00,241.00,359.00,32
664,600.00,275.00,325.00,32
714,600.00,277.00,323.00,34
764,600.00,277.00,323.00,36
814,600.00,284.00,316.00,37
864,600.00,311.00,289.00,38
914,600.00,285.00,315.00,41
964,600.00,318.00,282.00,41
1014,600.00,348.00,252.00,42
1064,600.00,314.00,286.00,45
1114,600.00,320.00,280.00,45
1164,600.00,345.00,255.00,46
1214,600.00,335.00,265.00,48
1264,600.00,344.00,256.00,49
1314,600.00,378.00,222.00,49
1364,600.00,338.00,262.00,53
1414,600.00,346.00,254.00,53
1464,600.00,371.00,229.00,53
1514,600.00,384.00,216.00,54
1564,600.00,363.00,237.00,57
1614,600.00,401.00,199.00,56
1664,600.00,358.00,242.00,59
1714,600.00,373.00,227.00,59
1764,600.00,387.00,213.00,60
1814,600.00,422.00,178.00,60
1864,600.00,378.00,222.00,63
1914,600.00,415.00,185.00,62
1965,600.00,378.00,222.00,65
2015,600.00,406.00,194.00,65
2065,600.00,432.00,168.00,65
2115,600.00,393.00,207.00,68
2165,600.00,432.00,168.00,67
2215,600.00,391.00,209.00,70
2265,600.00,421.00,179.00,69
2315,600.00,413.00,187.00,71
2365,600.00,453.00,147.00,70
2415,600.00,402.00,198.00,73
2465,600.00,440.00,160.00,72
2515,600.00,424.00,176.00,74
2565,600.00,447.00,153.00,74
2615,600.00,420.00,180.00,76
2665,600.00,459.00,141.00,75
2715,600.00,410.00,190.00,78
2765,600.00,446.00,154.00,77
2815,600.00,451.00,149.00,78
2865,600.00,470.00,130.00,79
2915,600.00,427.00,173.00,81
2965,600.00,464.00,136.00,80
3015,600.00,437.00,163.00,82
3065,600.00,449.00,151.00,82
3115,600.00,474.00,126.00,82
3165,600.00,479.00,121.00,83
3215,600.00,431.00,169.00,86
3265,600.00,468.00,132.00,84
3315,600.00,460.00,140.00,86
3365,600.00,452.00,148.00,87
3416,600.00,493.00,107.00,86
3466,600.00,438.00,162.00,89
3516,600.00,476.00,124.00,87
3566,600.00,463.00,137.00,89
3616,600.00,460.00,140.00,90
3666,600.00,497.00,103.00,89
3716,600.00,489.00,111.00,91
3766,600.00,451.00,149.00,92
3816,600.00,476.00,124.00,91
3866,600.00,483.00,117.00,92
3916,600.00,460.00,140.00,94
3966,600.00,501.00,99.00,93
4016,600.00,490.00,110.00,94
4066,600.00,471.00,129.00,95
4116,600.00,475.00,125.00,96
4166,600.00,502.00,98.00,95
4216,600.00,460.00,140.00,98
4266,600.00,501.00,99.00,96
4316,600.00,488.00,112.00,98
4366,600.00,491.00,109.00,98
4416,600.00,475.00,125.00,99
4466,600.00,516.00,84.00,98
4516,600.00,460.00,140.00,101
4566,600.00,499.00,101.00,100
4616,600.00,489.00,111.00,101
4666,600.00,506.00,94.00,101
4716,600.00,474.00,126.00,103
4766,600.00,516.00,84.00,101
4816,600.00,475.00,125.00,104
4866,600.00,495.00,105.00,103
4916,600.00,488.00,112.00,104
4966,600.00,520.00,80.00,104
5016,600.00,474.00,126.00,106
5066,600.00,513.00,87.00,105
5116,600.00,495.00,105.00,107
5166,600.00,511.00,89.00,106
5216,600.00,486.00,114.00,108
5266,600.00,531.00,69.00,106
5316,600.00,478.00,122.00,109
5366,600.00,511.00,89.00,108
5416,600.00,510.00,90.00,109
5466,600.00,523.00,77.00,109
5516,600.00,485.00,115.00,111
5566,600.00,527.00,73.00,109
5616,600.00,496.00,104.00,112
5666,600.00,508.00,92.00,111
5716,600.00,524.00,76.00,111
5766,600.00,533.00,67.00,112
5816,600.00,484.00,116.00,114
5866,600.00,524.00,76.00,112
5916,600.00,512.00,88.00,114
5966,600.00,505.00,95.00,114
6016,600.00,535.00,65.00,113
6066,600.00,536.00,64.00,114
6116,600.00,499.00,101.00,116
6166,600.00,519.00,81.00,115
6216,600.00,525.00,75.00,115
6266,600.00,500.00,100.00,117
6317,600.00,545.00,55.00,115
6367,600.00,498.00,102.00,118
6417,600.00,524.00,76.00,117
6467,600.00,526.00,74.00,118
6517,600.00,506.00,94.00,119
6567,600.00,546.00,54.00,117
6617,600.00,536.00,64.00,119
6667,600.00,515.00,85.00,120
6717,600.00,521.00,79.00,119
6767,600.00,536.00,64.00,119
6817,600.00,502.00,98.00,121
6867,600.00,544.00,56.00,120
6917,600.00,532.00,68.00,121
6967,600.00,528.00,72.00,121
7017,600.00,515.00,85.00,122
7067,600.00,547.00,53.00,121
7117,600.00,499.00,101.00,124
7167,600.00,540.00,60.00,122
7217,600.00,527.00,73.00,123
7267,600.00,538.00,62.00,123
7317,600.00,511.00,89.00,125
7367,600.00,555.00,45.00,123
7417,600.00,514.00,86.00,125
7467,600.00,534.00,66.00,124
7517,600.00,523.00,77.00,126
7567,600.00,548.00,52.00,125
7617,600.00,507.00,93.00,127
7667,600.00,550.00,50.00,125
7717,600.00,527.00,73.00,127
7768,600.00,529.00,71.00,127
7818,600.00,548.00,52.00,127
7868,600.00,512.00,88.00,129
7918,600.00,556.00,44.00,127
7968,600.00,528.00,72.00,129
8018,600.00,534.00,66.00,128
8068,600.00,524.00,76.00,129
8118,600.00,556.00,44.00,128
8168,600.00,513.00,87.00,131
8218,600.00,549.00,51.00,129
8268,600.00,538.00,62.00,130
8318,600.00,528.00,72.00,131
8368,600.00,521.00,79.00,131
8418,600.00,563.00,37.00,130
8468,600.00,528.00,72.00,132
8518,600.00,543.00,57.00,131
8568,600.00,548.00,52.00,132
8618,600.00,524.00,76.00,133
8668,600.00,517.00,83.00,133
8718,600.00,557.00,43.00,132
8768,600.00,539.00,61.00,134
8818,600.00,538.00,62.00,134
8868,600.00,558.00,42.00,133
8918,600.00,519.00,81.00,135
8968,600.00,529.00,71.00,134
9018,600.00,550.00,50.00,134
9068,600.00,549.00,51.00,135
9118,600.00,532.00,68.00,136
9168,600.00,565.00,35.00,135
9218,600.00,565.00,35.00,135
9268,600.00,538.00,62.00,137
9318,600.00,546.00,54.00,136
9368,600.00,557.00,43.00,136
9418,600.00,527.00,73.00,138
9468,600.00,571.00,29.00,136
9518,600.00,558.00,42.00,137
9568,600.00,548.00,52.00,138
9618,600.00,540.00,60.00,138
9668,600.00,564.00,36.00,137
9718,600.00,524.00,76.00,139
9768,600.00,563.00,37.00,137
9818,600.00,551.00,49.00,139
9868,600.00,557.00,43.00,139
9918,600.00,534.00,66.00,140
9968,600.00,571.00,29.00,138
10018,600.00,536.00,64.00,140
10068,600.00,557.00,43.00,139
10118,600.00,545.00,55.00,140
10168,600.00,564.00,36.00,140
10218,600.00,529.00,71.00,142
10268,600.00,573.00,27.00,140
10318,600.00,547.00,53.00,142
10368,600.00,551.00,49.00,141
10418,600.00,541.00,59.00,142
10468,600.00,570.00,30.00,141
10518,600.00,535.00,65.00,143
10568,600.00,565.00,35.00,142
10618,600.00,556.00,44.00,143
10669,600.00,545.00,55.00,143
10719,600.00,570.00,30.00,142
10769,600.00,535.00,65.00,144
10819,600.00,569.00,31.00,143
10869,600.00,556.00,44.00,144
10919,600.00,548.00,52.00,144
10969,600.00,539.00,61.00,144
11019,600.00,575.00,25.00,143
11069,600.00,544.00,56.00,145
11119,600.00,562.00,38.00,144
11169,600.00,563.00,37.00,145
11219,600.00,542.00,58.00,146
11269,600.00,535.00,65.00,146
11319,600.00,576.00,24.00,145
11369,600.00,554.00,46.00,146
11419,600.00,555.00,45.00,146
11469,600.00,570.00,30.00,146
11519,600.00,536.00,64.00,147
11569,600.00,545.00,55.00,147
11619,600.00,569.00,31.00,146
11669,600.00,562.00,38.00,147
11719,600.00,548.00,52.00,148
11769,600.00,576.00,24.00,147
11819,600.00,544.00,56.00,149
11869,600.00,556.00,44.00,148
11919,600.00,562.00,38.00,148
11969,600.00,569.00,31.00,148
12019,600.00,543.00,57.00,149
12069,600.00,581.00,19.00,148
12120,600.00,553.00,47.00,150
12170,600.00,566.00,34.00,149
12220,600.00,569.00,31.00,149
12270,600.00,546.00,54.00,150
12320,600.00,581.00,19.00,149
12370,600.00,552.00,48.00,151
12420,600.00,563.00,37.00,150
12470,600.00,559.00,41.00,150
12520,600.00,575.00,25.00,150
12570,600.00,541.00,59.00,152
12620,600.00,586.00,14.00,150
12670,600.00,560.00,40.00,151
12720,600.00,568.00,32.00,151
12770,600.00,552.00,48.00,152
12820,600.00,581.00,19.00,151
12870,600.00,550.00,50.00,152
12920,600.00,576.00,24.00,151
12970,600.00,567.00,33.00,152
13020,600.00,574.00,26.00,152
13070,600.00,546.00,54.00,153
13120,600.00,585.00,15.00,151
13170,600.00,557.00,43.00,153
13220,600.00,569.00,31.00,153
13270,600.00,574.00,26.00,153
13320,600.00,580.00,20.00,153
13370,600.00,548.00,52.00,154
13420,600.00,584.00,16.00,152
13470,600.00,565.00,35.00,154
13520,600.00,562.00,38.00,154
13570,600.00,552.00,48.00,154
13620,600.00,584.00,16.00,153
13670,600.00,556.00,44.00,155
13720,600.00,576.00,24.00,154
13770,600.00,572.00,28.00,155
13820,600.00,556.00,44.00,155
13870,600.00,547.00,53.00,155
13920,600.00,588.00,12.00,154
13970,600.00,564.00,36.00,156
14020,600.00,569.00,31.00,155
14070,600.00,578.00,22.00,155
14120,600.00,549.00,51.00,157
14170,600.00,558.00,42.00,156
14220,600.00,582.00,18.00,155
14270,600.00,571.00,29.00,156
14320,600.00,561.00,39.00,157
14370,600.00,584.00,16.00,156
14420,600.00,554.00,46.00,157
14470,600.00,564.00,36.00,157
14520,600.00,575.00,25.00,157
14570,600.00,578.00,22.00,157
14620,600.00,554.00,46.00,158
14670,600.00,588.00,12.00,157
14720,600.00,563.00,37.00,158
14770,600.00,571.00,29.00,158
14820,600.00,567.00,33.00,158
14870,600.00,583.00,17.00,158
14920,600.00,552.00,48.00,159
14970,600.00,592.00,8.00,157
15021,600.00,569.00,31.00,159
15071,600.00,570.00,30.00,159
15121,600.00,583.00,17.00,158
15171,600.00,551.00,49.00,160
15221,600.00,592.00,8.00,158
15271,600.00,568.00,32.00,160
15321,600.00,576.00,24.00,159
15371,600.00,563.00,37.00,160
15421,600.00,587.00,13.00,159
15471,600.00,560.00,40.00,160
15521,600.00,588.00,12.00,159
15571,600.00,574.00,26.00,160
15621,600.00,581.00,19.00,160
15671,600.00,557.00,43.00,161
15721,600.00,592.00,8.00,159
15771,600.00,566.00,34.00,161
15821,600.00,580.00,20.00,160
15871,600.00,580.00,20.00,160
15921,600.00,585.00,15.00,160
15971,600.00,556.00,44.00,162
16021,600.00,594.00,6.00,160
16071,600.00,573.00,27.00,161
16121,600.00,572.00,28.00,161
16171,600.00,585.00,15.00,161
16221,600.00,589.00,11.00,161
16271,600.00,565.00,35.00,162
16321,600.00,586.00,14.00,161
16371,600.00,578.00,22.00,162
16421,600.00,565.00,35.00,162
16472,600.00,589.00,11.00,161
16522,600.00,563.00,37.00,163
16572,600.00,590.00,10.00,161
16622,600.00,577.00,23.00,162
16672,600.00,567.00,33.00,163
16722,600.00,590.00,10.00,162
16772,600.00,592.00,8.00,162
16822,600.00,571.00,29.00,163
16872,600.00,581.00,19.00,162
16922,600.00,583.00,17.00,163
16972,600.00,561.00,39.00,164
17022,600.00,593.00,7.00,162
17072,600.00,594.00,6.00,163
17122,600.00,577.00,23.00,163
17172,600.00,573.00,27.00,163
17222,600.00,588.00,12.00,163
17272,600.00,560.00,40.00,164
17322,600.00,596.00,4.00,163
17372,600.00,586.00,14.00,164
17422,600.00,583.00,17.00,164
17472,600.00,566.00,34.00,164
17522,600.00,592.00,8.00,163
17572,600.00,567.00,33.00,165
17622,600.00,591.00,9.00,163
17672,600.00,577.00,23.00,164
17722,600.00,586.00,14.00,164
17772,600.00,559.00,41.00,165
17822,600.00,596.00,4.00,164
17872,600.00,574.00,26.00,165
17922,600.00,581.00,19.00,165
17972,600.00,571.00,29.00,165
18022,600.00,591.00,9.00,164
18072,600.00,564.00,36.00,166
18122,600.00,597.00,3.00,164
18172,600.00,579.00,21.00,166
18222,600.00,586.00,14.00,165
18272,600.00,564.00,36.00,166
18322,600.00,595.00,5.00,165
18372,600.00,572.00,28.00,166
18422,600.00,588.00,12.00,165
18472,600.00,584.00,16.00,166
18522,600.00,590.00,10.00,166
18572,600.00,563.00,37.00,167
