Tempo_ms,Setpoint,LDR,Erro,PWM
0,600.00,0.00,600.00,255
50,600.00,604.00,-4.00,0
100,600.00,57.00,543.00,255
150,600.00,633.00,-33.00,0
200,600.00,64.00,536.00,255
250,600.00,641.00,-41.00,0
300,600.00,65.00,535.00,255
350,600.00,644.00,-44.00,0
400,600.00,66.00,534.00,255
450,600.00,647.00,-47.00,0
500,600.00,66.00,534.00,255
550,600.00,649.00,-49.00,0
600,600.00,67.00,533.00,255
650,600.00,649.00,-49.00,0
700,600.00,67.00,533.00,255
750,600.00,650.00,-50.00,0
800,600.00,67.00,533.00,255
850,600.00,650.00,-50.00,0
900,600.00,67.00,533.00,255
950,600.00,651.00,-51.00,0
1000,600.00,68.00,532.00,255
1050,600.00,651.00,-51.00,0
1100,600.00,67.00,533.00,255
1150,600.00,651.00,-51.00,0
1200,600.00,67.00,533.00,255
1250,600.00,651.00,-51.00,0
1300,600.00,67.00,533.00,255
1350,600.00,652.00,-52.00,0
1400,600.00,68.00,532.00,255
1450,600.00,651.00,-51.00,0
1500,600.00,68.00,532.00,255
1550,600.00,652.00,-52.00,0
1600,600.00,67.00,533.00,255
1650,600.00,652.00,-52.00,0
1701,600.00,67.00,533.00,255
1751,600.00,652.00,-52.00,0
1801,600.00,68.00,532.00,255
1851,600.00,651.00,-51.00,0
1901,600.00,68.00,532.00,255
1951,600.00,652.00,-52.00,0
2013,600.00,47.00,553.00,255
2063,600.00,652.00,-52.00,0
2113,600.00,68.00,532.00,255
2163,600.00,652.00,-52.00,0
2213,600.00,70.00,530.00,255
2263,600.00,652.00,-52.00,0
2313,600.00,67.00,533.00,255
2363,600.00,652.00,-52.00,0
2413,600.00,68.00,532.00,255
2463,600.00,652.00,-52.00,0
2514,600.00,67.00,533.00,255
2564,600.00,653.00,-53.00,0
2614,600.00,68.00,532.00,255
2664,600.00,652.00,-52.00,0
2714,600.00,68.00,532.00,255
2764,600.00,652.00,-52.00,0
2814,600.00,71.00,529.00,255
2864,600.00,653.00,-53.00,0
2914,600.00,68.00,532.00,255
2964,600.00,653.00,-53.00,0
3014,600.00,67.00,533.00,255
3064,600.00,652.00,-52.00,0
3114,600.00,70.00,530.00,255
3164,600.00,652.00,-52.00,0
3214,600.00,68.00,532.00,255
3264,600.00,652.00,-52.00,0
3314,600.00,68.00,532.00,255
3365,600.00,652.00,-52.00,0
3415,600.00,68.00,532.00,255
3465,600.00,652.00,-52.00,0
3515,600.00,68.00,532.00,255
3565,600.00,652.00,-52.00,0
3615,600.00,68.00,532.00,255
3665,600.00,653.00,-53.00,0
3715,600.00,68.00,532.00,255
3765,600.00,653.00,-53.00,0
3815,600.00,67.00,533.00,255
3865,600.00,653.00,-53.00,0
3915,600.00,68.00,532.00,255
3965,600.00,653.00,-53.00,0
4015,600.00,68.00,532.00,255
4065,600.00,652.00,-52.00,0
4115,600.00,68.00,532.00,255
4165,600.00,652.00,-52.00,0
4215,600.00,68.00,532.00,255
4265,600.00,652.00,-52.00,0
4315,600.00,68.00,532.00,255
4365,600.00,652.00,-52.00,0
4415,600.00,68.00,532.00,255
4465,600.00,652.00,-52.00,0
4515,600.00,68.00,532.00,255
4565,600.00,652.00,-52.00,0
4615,600.00,68.00,532.00,255
