Tempo_ms,Setpoint,LDR,Erro,PWM
0,600.00,0.00,600.00,69
50,600.00,294.00,306.00,0
100,600.00,30.00,570.00,39
150,600.00,245.00,355.00,0
200,600.00,30.00,570.00,39
250,600.00,301.00,299.00,0
300,600.00,34.00,566.00,48
350,600.00,302.00,298.00,0
400,600.00,36.00,564.00,52
450,600.00,327.00,273.00,0
500,600.00,39.00,561.00,59
550,600.00,393.00,207.00,0
600,600.00,42.00,558.00,69
650,600.00,372.00,228.00,0
700,600.00,44.00,556.00,70
750,600.00,413.00,187.00,0
800,600.00,45.00,555.00,78
850,600.00,449.00,151.00,0
900,600.00,49.00,551.00,85
950,600.00,430.00,170.00,4
1000,600.00,98.00,502.00,81
1050,600.00,456.00,144.00,9
1100,600.00,143.00,457.00,82
1150,600.00,456.00,144.00,16
1200,600.00,204.00,396.00,77
1250,600.00,431.00,169.00,28
1300,600.00,267.00,333.00,71
1350,600.00,445.00,155.00,35
1400,600.00,290.00,310.00,72
1450,600.00,430.00,170.00,42
1500,600.00,335.00,265.00,68
1550,600.00,429.00,171.00,49
1600,600.00,348.00,252.00,68
1650,600.00,433.00,167.00,51
1700,600.00,344.00,256.00,71
1750,600.00,425.00,175.00,54
1800,600.00,372.00,228.00,69
1850,600.00,447.00,153.00,56
1900,600.00,367.00,233.00,74
1950,600.00,444.00,156.00,58
2000,600.00,372.00,228.00,75
2050,600.00,430.00,170.00,62
2100,600.00,392.00,208.00,73
2150,600.00,454.00,146.00,63
2200,600.00,383.00,217.00,78
2250,600.00,448.00,152.00,65
2300,600.00,413.00,187.00,76
2351,600.00,428.00,172.00,72
2401,600.00,455.00,145.00,71
2451,600.00,404.00,196.00,80
2513,600.00,422.00,178.00,74
2564,600.00,438.00,162.00,75
2614,600.00,427.00,173.00,79
2664,600.00,472.00,128.00,73
2714,600.00,409.00,191.00,86
2764,600.00,469.00,131.00,74
2814,600.00,435.00,165.00,84
2864,600.00,473.00,127.00,77
2914,600.00,427.00,173.00,87
2964,600.00,483.00,117.00,77
3014,600.00,415.00,185.00,91
3064,600.00,472.00,128.00,78
3114,600.00,459.00,141.00,86
3164,600.00,487.00,113.00,82
3214,600.00,433.00,167.00,92
3264,600.00,486.00,114.00,81
3314,600.00,443.00,157.00,92
3364,600.00,468.00,132.00,86
3414,600.00,486.00,114.00,87
3464,600.00,489.00,111.00,89
3514,600.00,492.00,108.00,89
3564,600.00,473.00,127.00,92
3614,600.00,481.00,119.00,90
3664,600.00,459.00,141.00,94
3714,600.00,506.00,94.00,87
3764,600.00,481.00,119.00,95
3814,600.00,467.00,133.00,95
3864,600.00,479.00,121.00,93
3914,600.00,493.00,107.00,93
3964,600.00,459.00,141.00,99
4015,600.00,507.00,93.00,91
4065,600.00,455.00,145.00,102
4115,600.00,493.00,107.00,93
4165,600.00,491.00,109.00,98
4215,600.00,470.00,130.00,100
4265,600.00,512.00,88.00,94
4315,600.00,490.00,110.00,101
4365,600.00,489.00,111.00,100
4415,600.00,484.00,116.00,101
4465,600.00,514.00,86.00,97
4515,600.00,463.00,137.00,107
4565,600.00,516.00,84.00,96
4615,600.00,487.00,113.00,105
4665,600.00,506.00,94.00,101
4715,600.00,479.00,121.00,106
4765,600.00,528.00,72.00,98
4815,600.00,460.00,140.00,111
4865,600.00,516.00,84.00,99
4915,600.00,486.00,114.00,108
4965,600.00,520.00,80.00,102
5015,600.00,475.00,125.00,111
5065,600.00,528.00,72.00,101
5115,600.00,479.00,121.00,112
5165,600.00,509.00,91.00,105
5215,600.00,490.00,110.00,110
5265,600.00,530.00,70.00,104
5315,600.00,473.00,127.00,115
5365,600.00,526.00,74.00,104
5415,600.00,497.00,103.00,113
5466,600.00,504.00,96.00,110
5516,600.00,528.00,72.00,108
5566,600.00,480.00,120.00,117
5616,600.00,532.00,68.00,106
5666,600.00,498.00,102.00,116
5716,600.00,511.00,89.00,111
5766,600.00,495.00,105.00,115
5816,600.00,542.00,58.00,109
5866,600.00,485.00,115.00,120
5916,600.00,528.00,72.00,110
5966,600.00,514.00,86.00,116
6016,600.00,504.00,96.00,116
6066,600.00,496.00,104.00,117
6116,600.00,537.00,63.00,112
6166,600.00,502.00,98.00,120
6216,600.00,521.00,79.00,115
6266,600.00,530.00,70.00,116
6316,600.00,498.00,102.00,121
6366,600.00,500.00,100.00,118
6416,600.00,531.00,69.00,116
6466,600.00,519.00,81.00,120
6516,600.00,514.00,86.00,120
6566,600.00,544.00,56.00,117
6616,600.00,494.00,106.00,126
6666,600.00,520.00,80.00,118
6716,600.00,523.00,77.00,121
6766,600.00,535.00,65.00,120
6816,600.00,508.00,92.00,125
6866,600.00,555.00,45.00,117
6916,600.00,534.00,66.00,124
6966,600.00,526.00,74.00,124
7016,600.00,524.00,76.00,123
7066,600.00,544.00,56.00,121
7116,600.00,503.00,97.00,128
7166,600.00,553.00,47.00,119
7216,600.00,529.00,71.00,127
7266,600.00,539.00,61.00,124
7316,600.00,517.00,83.00,128
7366,600.00,555.00,45.00,121
7416,600.00,502.00,98.00,132
7466,600.00,550.00,50.00,121
7516,600.00,524.00,76.00,129
7566,600.00,548.00,52.00,124
7616,600.00,511.00,89.00,131
7666,600.00,563.00,37.00,122
7716,600.00,516.00,84.00,133
7766,600.00,543.00,57.00,125
7816,600.00,523.00,77.00,131
7866,600.00,556.00,44.00,125
7916,600.00,506.00,94.00,134
7966,600.00,557.00,43.00,124
8016,600.00,528.00,72.00,133
8066,600.00,536.00,64.00,129
8116,600.00,522.00,78.00,132
8166,600.00,562.00,38.00,126
8216,600.00,516.00,84.00,136
8266,600.00,551.00,49.00,128
8316,600.00,541.00,59.00,133
8367,600.00,529.00,71.00,133
8417,600.00,562.00,38.00,129
8467,600.00,518.00,82.00,137
8517,600.00,555.00,45.00,129
8567,600.00,541.00,59.00,134
8617,600.00,531.00,69.00,135
8667,600.00,525.00,75.00,135
8717,600.00,567.00,33.00,129
8767,600.00,528.00,72.00,138
8817,600.00,549.00,51.00,132
8867,600.00,551.00,49.00,135
8917,600.00,526.00,74.00,138
8967,600.00,528.00,72.00,135
9017,600.00,558.00,42.00,133
9067,600.00,542.00,58.00,138
9117,600.00,541.00,59.00,136
9167,600.00,561.00,39.00,134
9217,600.00,519.00,81.00,141
9267,600.00,541.00,59.00,135
9317,600.00,549.00,51.00,137
9367,600.00,554.00,46.00,137
9417,600.00,533.00,67.00,140
9467,600.00,570.00,30.00,134
9517,600.00,528.00,72.00,143
9567,600.00,552.00,48.00,136
9617,600.00,543.00,57.00,140
9667,600.00,563.00,37.00,137
9717,600.00,526.00,74.00,143
9767,600.00,576.00,24.00,134
9818,600.00,537.00,63.00,144
9868,600.00,555.00,45.00,138
9918,600.00,559.00,41.00,140
9968,600.00,532.00,68.00,144
10018,600.00,577.00,23.00,136
10068,600.00,538.00,62.00,145
