Tempo_ms,Setpoint,LDR,Erro,PWM
0,600.00,0.00,600.00,18
50,600.00,101.00,499.00,5
100,600.00,49.00,551.00,12
150,600.00,104.00,496.00,12
200,600.00,106.00,494.00,15
250,600.00,151.00,449.00,16
300,600.00,150.00,450.00,19
350,600.00,186.00,414.00,21
400,600.00,184.00,416.00,23
450,600.00,212.00,388.00,25
500,600.00,226.00,374.00,27
550,600.00,257.00,343.00,28
600,600.00,238.00,362.00,31
650,600.00,273.00,327.00,31
700,600.00,249.00,351.00,34
750,600.00,282.00,318.00,35
800,600.00,313.00,287.00,36
850,600.00,312.00,288.00,38
900,600.00,290.00,310.00,40
950,600.00,320.00,280.00,40
1000,600.00,304.00,296.00,43
1050,600.00,323.00,277.00,43
1100,600.00,351.00,249.00,44
1150,600.00,348.00,252.00,46
1200,600.00,320.00,280.00,48
1250,600.00,351.00,249.00,48
1300,600.00,364.00,236.00,50
1350,600.00,347.00,253.00,52
1400,600.00,383.00,217.00,51
1450,600.00,373.00,227.00,53
1500,600.00,350.00,250.00,55
1550,600.00,373.00,227.00,55
1600,600.00,406.00,194.00,56
1650,600.00,365.00,235.00,59
1700,600.00,368.00,232.00,59
1750,600.00,395.00,205.00,59
1800,600.00,392.00,208.00,61
1850,600.00,388.00,212.00,62
1900,600.00,423.00,177.00,62
1950,600.00,379.00,221.00,65
2000,600.00,381.00,219.00,65
2050,600.00,409.00,191.00,65
2100,600.00,427.00,173.00,66
2150,600.00,398.00,202.00,68
2200,600.00,435.00,165.00,68
2250,600.00,391.00,209.00,71
2300,600.00,418.00,182.00,70
2350,600.00,417.00,183.00,72
2400,600.00,458.00,142.00,71
2450,600.00,407.00,193.00,74
2500,600.00,444.00,156.00,73
2550,600.00,420.00,180.00,75
2600,600.00,445.00,155.00,75
2650,600.00,424.00,176.00,77
2700,600.00,464.00,136.00,76
2750,600.00,414.00,186.00,79
2800,600.00,451.00,149.00,78
2850,600.00,448.00,152.00,80
2900,600.00,469.00,131.00,80
2950,600.00,431.00,169.00,82
3000,600.00,469.00,131.00,81
3050,600.00,432.00,168.00,83
3100,600.00,454.00,146.00,83
3151,600.00,472.00,128.00,83
