Tempo_ms,Setpoint,LDR,Erro,PWM
0,600.00,0.00,600.00,240
50,600.00,595.00,5.00,2
100,600.00,82.00,518.00,207
150,600.00,602.00,-2.00,0
200,600.00,61.00,539.00,215
250,600.00,608.00,-8.00,0
300,600.00,63.00,537.00,214
350,600.00,617.00,-17.00,0
400,600.00,64.00,536.00,214
450,600.00,624.00,-24.00,0
500,600.00,64.00,536.00,214
550,600.00,618.00,-18.00,0
600,600.00,64.00,536.00,214
650,600.00,624.00,-24.00,0
700,600.00,64.00,536.00,214
750,600.00,628.00,-28.00,0
800,600.00,67.00,533.00,213
850,600.00,622.00,-22.00,0
900,600.00,64.00,536.00,214
950,600.00,628.00,-28.00,0
1000,600.00,64.00,536.00,214
1050,600.00,631.00,-31.00,0
1100,600.00,68.00,532.00,212
1150,600.00,624.00,-24.00,0
1200,600.00,65.00,535.00,214
1250,600.00,629.00,-29.00,0
1300,600.00,65.00,535.00,214
1350,600.00,633.00,-33.00,0
1400,600.00,68.00,532.00,212
1450,600.00,626.00,-26.00,0
1500,600.00,65.00,535.00,214
1550,600.00,631.00,-31.00,0
1600,600.00,65.00,535.00,214
1650,600.00,634.00,-34.00,0
1700,600.00,67.00,533.00,213
1750,600.00,628.00,-28.00,0
1800,600.00,65.00,535.00,214
1850,600.00,632.00,-32.00,0
1900,600.00,65.00,535.00,214
1950,600.00,633.00,-33.00,0
2000,600.00,66.00,534.00,213
2050,600.00,630.00,-30.00,0
2100,600.00,65.00,535.00,214
2150,600.00,634.00,-34.00,0
2200,600.00,66.00,534.00,213
2251,600.00,623.00,-23.00,0
2301,600.00,65.00,535.00,214
2351,600.00,620.00,-20.00,0
2401,600.00,65.00,535.00,214
2451,600.00,626.00,-26.00,0
2514,600.00,44.00,556.00,222
2564,600.00,635.00,-35.00,0
2614,600.00,66.00,534.00,213
2664,600.00,633.00,-33.00,0
2714,600.00,64.00,536.00,214
2764,600.00,628.00,-28.00,0
2814,600.00,66.00,534.00,213
2864,600.00,631.00,-31.00,0
2914,600.00,65.00,535.00,214
2964,600.00,634.00,-34.00,0
3014,600.00,65.00,535.00,214
3064,600.00,629.00,-29.00,0
3114,600.00,66.00,534.00,213
3164,600.00,633.00,-33.00,0
3214,600.00,65.00,535.00,214
3264,600.00,631.00,-31.00,0
3314,600.00,65.00,535.00,214
3364,600.00,631.00,-31.00,0
3414,600.00,65.00,535.00,214
3464,600.00,634.00,-34.00,0
3514,600.00,65.00,535.00,214
3564,600.00,621.00,-21.00,0
3614,600.00,65.00,535.00,214
3664,600.00,632.00,-32.00,0
