Tempo_ms,Setpoint,LDR,Erro,PWM
0,600.00,0.00,600.00,60
50,600.00,281.00,319.00,31
100,600.00,253.00,347.00,34
150,600.00,272.00,328.00,32
200,600.00,244.00,356.00,35
250,600.00,278.00,322.00,32
300,600.00,291.00,309.00,30
350,600.00,253.00,347.00,34
400,600.00,292.00,308.00,30
450,600.00,270.00,330.00,33
500,600.00,274.00,326.00,32
550,600.00,272.00,328.00,32
600,600.00,294.00,306.00,30
650,600.00,256.00,344.00,34
700,600.00,293.00,307.00,30
750,600.00,271.00,329.00,32
800,600.00,301.00,299.00,29
850,600.00,258.00,342.00,34
900,600.00,301.00,299.00,29
950,600.00,251.00,349.00,34
1000,600.00,269.00,331.00,33
1050,600.00,283.00,317.00,31
1100,600.00,296.00,304.00,30
1150,600.00,261.00,339.00,33
1200,600.00,294.00,306.00,30
1250,600.00,253.00,347.00,34
1300,600.00,297.00,303.00,30
1350,600.00,267.00,333.00,33
1400,600.00,302.00,298.00,29
1450,600.00,255.00,345.00,34
1500,600.00,295.00,305.00,30
1550,600.00,271.00,329.00,32
1600,600.00,305.00,295.00,29
1650,600.00,259.00,341.00,34
1700,600.00,302.00,298.00,29
1750,600.00,252.00,348.00,34
1800,600.00,292.00,308.00,30
1850,600.00,297.00,303.00,30
1900,600.00,290.00,310.00,31
1950,600.00,266.00,334.00,33
2000,600.00,294.00,306.00,30
2050,600.00,255.00,345.00,34
2100,600.00,289.00,311.00,31
2150,600.00,297.00,303.00,30
2200,600.00,286.00,314.00,31
2250,600.00,263.00,337.00,33
2300,600.00,290.00,310.00,31
2350,600.00,288.00,312.00,31
2400,600.00,272.00,328.00,32
2451,600.00,298.00,302.00,30
2513,600.00,286.00,314.00,31
2563,600.00,281.00,319.00,31
2613,600.00,289.00,311.00,31
2664,600.00,272.00,328.00,32
2714,600.00,297.00,303.00,30
2764,600.00,260.00,340.00,34
2814,600.00,296.00,304.00,30
2864,600.00,279.00,321.00,32
2914,600.00,278.00,322.00,32
2964,600.00,274.00,326.00,32
3014,600.00,274.00,326.00,32
3064,600.00,266.00,334.00,33
3114,600.00,288.00,312.00,31
3164,600.00,302.00,298.00,29
3214,600.00,261.00,339.00,33
