Tempo_ms,Setpoint,LDR,Erro,PWM
0,600.00,0.00,600.00,255
50,600.00,612.00,-12.00,0
100,600.00,60.00,540.00,255
150,600.00,637.00,-37.00,0
200,600.00,65.00,535.00,255
250,600.00,644.00,-44.00,0
300,600.00,66.00,534.00,255
350,600.00,647.00,-47.00,0
400,600.00,67.00,533.00,255
450,600.00,649.00,-49.00,0
500,600.00,68.00,532.00,255
550,600.00,650.00,-50.00,0
600,600.00,67.00,533.00,255
650,600.00,650.00,-50.00,0
700,600.00,67.00,533.00,255
750,600.00,651.00,-51.00,0
800,600.00,67.00,533.00,255
850,600.00,651.00,-51.00,0
900,600.00,67.00,533.00,255
950,600.00,651.00,-51.00,0
1000,600.00,67.00,533.00,255
1050,600.00,651.00,-51.00,0
1100,600.00,67.00,533.00,255
1150,600.00,652.00,-52.00,0
1201,600.00,68.00,532.00,255
1251,600.00,651.00,-51.00,0
1301,600.00,68.00,532.00,255
1351,600.00,652.00,-52.00,0
1401,600.00,67.00,533.00,255
1451,600.00,652.00,-52.00,0
1513,600.00,47.00,553.00,255
1563,600.00,652.00,-52.00,0
1613,600.00,67.00,533.00,255
1663,600.00,652.00,-52.00,0
1713,600.00,70.00,530.00,255
1763,600.00,652.00,-52.00,0
1813,600.00,68.00,532.00,255
1863,600.00,652.00,-52.00,0
1913,600.00,68.00,532.00,255
1963,600.00,652.00,-52.00,0
2014,600.00,66.00,534.00,255
2064,600.00,652.00,-52.00,0
2114,600.00,67.00,533.00,255
2164,600.00,652.00,-52.00,0
2214,600.00,68.00,532.00,255
2264,600.00,652.00,-52.00,0
2314,600.00,69.00,531.00,255
2364,600.00,652.00,-52.00,0
2414,600.00,67.00,533.00,255
2464,600.00,652.00,-52.00,0
2514,600.00,68.00,532.00,255
2564,600.00,652.00,-52.00,0
2614,600.00,70.00,530.00,255
2664,600.00,652.00,-52.00,0
2714,600.00,67.00,533.00,255
2764,600.00,652.00,-52.00,0
2814,600.00,68.00,532.00,255
2865,600.00,652.00,-52.00,0
2915,600.00,68.00,532.00,255
2965,600.00,652.00,-52.00,0
3015,600.00,67.00,533.00,255
3065,600.00,652.00,-52.00,0
3115,600.00,67.00,533.00,255
3165,600.00,652.00,-52.00,0
3215,600.00,68.00,532.00,255
3265,600.00,652.00,-52.00,0
3315,600.00,68.00,532.00,255
3365,600.00,652.00,-52.00,0
3415,600.00,68.00,532.00,255
3465,600.00,652.00,-52.00,0
3515,600.00,67.00,533.00,255
3565,600.00,651.00,-51.00,0
3615,600.00,68.00,532.00,255
3665,600.00,652.00,-52.00,0
3715,600.00,68.00,532.00,255
3765,600.00,652.00,-52.00,0
3815,600.00,67.00,533.00,255
3865,600.00,652.00,-52.00,0
3915,600.00,68.00,532.00,255
3965,600.00,652.00,-52.00,0
4015,600.00,68.00,532.00,255
4065,600.00,651.00,-51.00,0
4115,600.00,68.00,532.00,255
4165,600.00,652.00,-52.00,0
4215,600.00,67.00,533.00,255
4265,600.00,652.00,-52.00,0
4316,600.00,68.00,532.00,255
4366,600.00,652.00,-52.00,0
4416,600.00,68.00,532.00,255
4466,600.00,652.00,-52.00,0
4516,600.00,68.00,532.00,255
4566,600.00,652.00,-52.00,0
4616,600.00,70.00,530.00,255
4666,600.00,652.00,-52.00,0
4716,600.00,68.00,532.00,255
4766,600.00,652.00,-52.00,0
4816,600.00,68.00,532.00,255
4866,600.00,652.00,-52.00,0
4916,600.00,70.00,530.00,255
4966,600.00,652.00,-52.00,0
5016,600.00,67.00,533.00,255
5066,600.00,652.00,-52.00,0
5116,600.00,68.00,532.00,255
5166,600.00,652.00,-52.00,0
5216,600.00,70.00,530.00,255
5266,600.00,652.00,-52.00,0
5316,600.00,68.00,532.00,255
5366,600.00,652.00,-52.00,0
5416,600.00,67.00,533.00,255
5466,600.00,652.00,-52.00,0
5516,600.00,69.00,531.00,255
5566,600.00,652.00,-52.00,0
5616,600.00,68.00,532.00,255
5666,600.00,652.00,-52.00,0
5716,600.00,68.00,532.00,255
5766,600.00,652.00,-52.00,0
5816,600.00,68.00,532.00,255
5866,600.00,652.00,-52.00,0
5916,600.00,67.00,533.00,255
5966,600.00,652.00,-52.00,0
6016,600.00,67.00,533.00,255
6066,600.00,652.00,-52.00,0
6116,600.00,68.00,532.00,255
6166,600.00,652.00,-52.00,0
6216,600.00,67.00,533.00,255
6266,600.00,652.00,-52.00,0
6316,600.00,68.00,532.00,255
6366,600.00,652.00,-52.00,0
6416,600.00,67.00,533.00,255
6466,600.00,652.00,-52.00,0
6516,600.00,67.00,533.00,255
6566,600.00,652.00,-52.00,0
