Tempo_ms,Setpoint,LDR,Erro,PWM
0,600.00,0.00,600.00,72
50,600.00,316.00,284.00,0
100,600.00,33.00,567.00,48
150,600.00,287.00,313.00,0
200,600.00,36.00,564.00,54
250,600.00,336.00,264.00,0
300,600.00,38.00,562.00,66
350,600.00,365.00,235.00,3
400,600.00,82.00,518.00,72
450,600.00,387.00,213.00,12
500,600.00,163.00,437.00,72
550,600.00,401.00,199.00,25
600,600.00,264.00,336.00,67
650,600.00,380.00,220.00,43
700,600.00,338.00,262.00,62
750,600.00,391.00,209.00,54
800,600.00,391.00,209.00,62
850,600.00,381.00,219.00,65
900,600.00,421.00,179.00,61
950,600.00,369.00,231.00,73
1000,600.00,428.00,172.00,63
1050,600.00,417.00,183.00,72
1100,600.00,455.00,145.00,68
1150,600.00,397.00,203.00,81
1200,600.00,458.00,142.00,69
1250,600.00,411.00,189.00,83
1300,600.00,447.00,153.00,76
1350,600.00,426.00,174.00,83
1400,600.00,477.00,123.00,77
1450,600.00,414.00,186.00,91
1500,600.00,474.00,126.00,79
1550,600.00,451.00,149.00,89
1600,600.00,455.00,145.00,88
1650,600.00,447.00,153.00,90
1700,600.00,486.00,114.00,87
1750,600.00,448.00,152.00,96
1800,600.00,479.00,121.00,90
1850,600.00,487.00,113.00,93
1900,600.00,458.00,142.00,99
1950,600.00,462.00,138.00,97
2000,600.00,492.00,108.00,95
2050,600.00,479.00,121.00,101
2100,600.00,483.00,117.00,100
2150,600.00,513.00,87.00,98
2200,600.00,463.00,137.00,108
2250,600.00,485.00,115.00,102
2300,600.00,495.00,105.00,104
2350,600.00,506.00,94.00,105
2400,600.00,484.00,116.00,109
2450,600.00,531.00,69.00,103
2500,600.00,473.00,127.00,115
2550,600.00,510.00,90.00,106
2600,600.00,496.00,104.00,112
2650,600.00,528.00,72.00,108
2700,600.00,483.00,117.00,117
2750,600.00,535.00,65.00,108
2801,600.00,496.00,104.00,118
2851,600.00,517.00,83.00,113
2901,600.00,528.00,72.00,115
2951,600.00,496.00,104.00,120
3015,600.00,517.00,83.00,116
3065,600.00,523.00,77.00,118
3115,600.00,525.00,75.00,119
3165,600.00,509.00,91.00,122
3215,600.00,548.00,52.00,116
3265,600.00,493.00,107.00,127
3315,600.00,526.00,74.00,119
3365,600.00,521.00,79.00,124
3415,600.00,541.00,59.00,122
3465,600.00,507.00,93.00,128
3515,600.00,558.00,42.00,120
3565,600.00,512.00,88.00,131
3615,600.00,540.00,60.00,124
3665,600.00,521.00,79.00,129
3715,600.00,554.00,46.00,124
