Tempo_ms,Setpoint,LDR,Erro,PWM
0,600.00,0.00,600.00,120
50,600.00,435.00,165.00,33
100,600.00,285.00,315.00,63
150,600.00,393.00,207.00,41
200,600.00,295.00,305.00,61
250,600.00,384.00,216.00,43
300,600.00,344.00,256.00,51
350,600.00,348.00,252.00,50
401,600.00,374.00,226.00,45
451,600.00,321.00,279.00,55
513,600.00,352.00,248.00,49
563,600.00,374.00,226.00,45
613,600.00,334.00,266.00,53
663,600.00,355.00,245.00,49
713,600.00,369.00,231.00,46
763,600.00,330.00,270.00,54
813,600.00,373.00,227.00,45
863,600.00,373.00,227.00,45
913,600.00,365.00,235.00,47
963,600.00,335.00,265.00,53
1013,600.00,354.00,246.00,49
1063,600.00,366.00,234.00,46
1113,600.00,344.00,256.00,51
1163,600.00,390.00,210.00,42
1213,600.00,349.00,251.00,50
1263,600.00,341.00,259.00,51
1313,600.00,369.00,231.00,46
1363,600.00,377.00,223.00,44
1413,600.00,333.00,267.00,53
1463,600.00,391.00,209.00,41
1514,600.00,347.00,253.00,50
1564,600.00,367.00,233.00,46
1614,600.00,371.00,229.00,45
1664,600.00,339.00,261.00,52
1714,600.00,390.00,210.00,42
1764,600.00,319.00,281.00,56
1814,600.00,372.00,228.00,45
1864,600.00,347.00,253.00,50
1914,600.00,394.00,206.00,41
1964,600.00,321.00,279.00,55
2014,600.00,394.00,206.00,41
2065,600.00,311.00,289.00,57
2115,600.00,387.00,213.00,42
2165,600.00,365.00,235.00,47
2215,600.00,343.00,257.00,51
2265,600.00,383.00,217.00,43
2315,600.00,320.00,280.00,56
2365,600.00,388.00,212.00,42
2415,600.00,333.00,267.00,53
2465,600.00,399.00,201.00,40
2515,600.00,315.00,285.00,57
2565,600.00,396.00,204.00,40
2615,600.00,325.00,275.00,55
2665,600.00,403.00,197.00,39
2715,600.00,317.00,283.00,56
2765,600.00,403.00,197.00,39
2815,600.00,308.00,292.00,58
2865,600.00,394.00,206.00,41
2915,600.00,353.00,247.00,49
2965,600.00,389.00,211.00,42
3015,600.00,324.00,276.00,55
3065,600.00,394.00,206.00,41
3115,600.00,313.00,287.00,57
3165,600.00,386.00,214.00,42
3215,600.00,364.00,236.00,47
3265,600.00,375.00,225.00,45
3315,600.00,331.00,269.00,53
3365,600.00,382.00,218.00,43
3415,600.00,348.00,252.00,50
3465,600.00,359.00,241.00,48
3516,600.00,381.00,219.00,43
3566,600.00,325.00,275.00,55
3616,600.00,389.00,211.00,42
3666,600.00,338.00,262.00,52
3716,600.00,367.00,233.00,46
3766,600.00,375.00,225.00,45
3816,600.00,364.00,236.00,47
3866,600.00,335.00,265.00,53
3916,600.00,378.00,222.00,44
3966,600.00,368.00,232.00,46
4016,600.00,343.00,257.00,51
4066,600.00,387.00,213.00,42
4116,600.00,347.00,253.00,50
4166,600.00,353.00,247.00,49
4216,600.00,360.00,240.00,48
4266,600.00,387.00,213.00,42
4316,600.00,325.00,275.00,55
4366,600.00,394.00,206.00,41
4416,600.00,339.00,261.00,52
4466,600.00,382.00,218.00,43
4516,600.00,335.00,265.00,53
4566,600.00,397.00,203.00,40
4616,600.00,314.00,286.00,57
4666,600.00,395.00,205.00,41
4716,600.00,335.00,265.00,53
4766,600.00,403.00,197.00,39
4816,600.00,316.00,284.00,56
4866,600.00,401.00,199.00,39
4916,600.00,307.00,293.00,58
4967,600.00,392.00,208.00,41
5017,600.00,360.00,240.00,48
5067,600.00,349.00,251.00,50
5117,600.00,383.00,217.00,43
5167,600.00,322.00,278.00,55
5217,600.00,385.00,215.00,43
5267,600.00,339.00,261.00,52
5317,600.00,400.00,200.00,40
5367,600.00,317.00,283.00,56
5417,600.00,397.00,203.00,40
5467,600.00,311.00,289.00,57
5517,600.00,386.00,214.00,42
5567,600.00,331.00,269.00,53
5617,600.00,396.00,204.00,40
5667,600.00,314.00,286.00,57
5717,600.00,394.00,206.00,41
5767,600.00,341.00,259.00,51
5817,600.00,362.00,238.00,47
5867,600.00,344.00,256.00,51
5917,600.00,384.00,216.00,43
5967,600.00,320.00,280.00,56
6017,600.00,386.00,214.00,42
6067,600.00,367.00,233.00,46
6117,600.00,342.00,258.00,51
6167,600.00,353.00,247.00,49
6217,600.00,371.00,229.00,45
6267,600.00,343.00,257.00,51
6317,600.00,365.00,235.00,47
6367,600.00,381.00,219.00,43
6417,600.00,357.00,243.00,48
6467,600.00,339.00,261.00,52
6517,600.00,376.00,224.00,44
6567,600.00,361.00,239.00,47
6617,600.00,348.00,252.00,50
6667,600.00,385.00,215.00,43
6717,600.00,352.00,248.00,49
6767,600.00,343.00,257.00,51
6817,600.00,368.00,232.00,46
6867,600.00,381.00,219.00,43
6917,600.00,329.00,271.00,54
6967,600.00,393.00,207.00,41
7017,600.00,340.00,260.00,52
7067,600.00,377.00,223.00,44
7117,600.00,340.00,260.00,52
7167,600.00,396.00,204.00,40
7217,600.00,315.00,285.00,57
7267,600.00,396.00,204.00,40
7317,600.00,332.00,268.00,53
7367,600.00,398.00,202.00,40
7417,600.00,321.00,279.00,55
7467,600.00,399.00,201.00,40
7517,600.00,312.00,288.00,57
7567,600.00,391.00,209.00,41
7617,600.00,332.00,268.00,53
7667,600.00,403.00,197.00,39
7717,600.00,313.00,287.00,57
7767,600.00,400.00,200.00,40
7817,600.00,310.00,290.00,58
7868,600.00,388.00,212.00,42
7918,600.00,364.00,236.00,47
7968,600.00,342.00,258.00,51
8018,600.00,382.00,218.00,43
8068,600.00,318.00,282.00,56
8118,600.00,384.00,216.00,43
8168,600.00,336.00,264.00,52
8218,600.00,395.00,205.00,41
8268,600.00,318.00,282.00,56
8318,600.00,392.00,208.00,41
8368,600.00,334.00,266.00,53
8418,600.00,370.00,230.00,46
8468,600.00,342.00,258.00,51
8518,600.00,385.00,215.00,43
8568,600.00,321.00,279.00,55
8618,600.00,384.00,216.00,43
8668,600.00,365.00,235.00,47
8718,600.00,345.00,255.00,51
8768,600.00,354.00,246.00,49
8818,600.00,373.00,227.00,45
8868,600.00,336.00,264.00,52
8918,600.00,370.00,230.00,46
8968,600.00,379.00,221.00,44
9018,600.00,332.00,268.00,53
9068,600.00,355.00,245.00,49
9118,600.00,368.00,232.00,46
9168,600.00,362.00,238.00,47
9218,600.00,349.00,251.00,50
9268,600.00,387.00,213.00,42
9319,600.00,321.00,279.00,55
9369,600.00,388.00,212.00,42
9419,600.00,342.00,258.00,51
9469,600.00,362.00,238.00,47
9519,600.00,378.00,222.00,44
9569,600.00,329.00,271.00,54
9619,600.00,355.00,245.00,49
9669,600.00,365.00,235.00,47
9719,600.00,381.00,219.00,43
9769,600.00,331.00,269.00,53
9819,600.00,392.00,208.00,41
9869,600.00,315.00,285.00,57
9919,600.00,382.00,218.00,43
9969,600.00,339.00,261.00,52
10019,600.00,400.00,200.00,40
10069,600.00,317.00,283.00,56
10119,600.00,396.00,204.00,40
10169,600.00,312.00,288.00,57
10219,600.00,400.00,200.00,40
10269,600.00,324.00,276.00,55
10319,600.00,403.00,197.00,39
10369,600.00,310.00,290.00,58
10419,600.00,397.00,203.00,40
10469,600.00,338.00,262.00,52
10519,600.00,403.00,197.00,39
10569,600.00,315.00,285.00,57
10619,600.00,403.00,197.00,39
10669,600.00,305.00,295.00,59
10719,600.00,394.00,206.00,41
10769,600.00,330.00,270.00,54
10819,600.00,403.00,197.00,39
10869,600.00,312.00,288.00,57
10919,600.00,397.00,203.00,40
10969,600.00,324.00,276.00,55
11019,600.00,377.00,223.00,44
11069,600.00,336.00,264.00,52
11119,600.00,390.00,210.00,42
11169,600.00,319.00,281.00,56
11219,600.00,388.00,212.00,42
11269,600.00,355.00,245.00,49
11319,600.00,354.00,246.00,49
11369,600.00,349.00,251.00,50
11419,600.00,378.00,222.00,44
11469,600.00,326.00,274.00,54
11519,600.00,377.00,223.00,44
11569,600.00,373.00,227.00,45
11619,600.00,336.00,264.00,52
11669,600.00,353.00,247.00,49
11719,600.00,369.00,231.00,46
11769,600.00,357.00,243.00,48
11819,600.00,353.00,247.00,49
11869,600.00,385.00,215.00,43
11919,600.00,326.00,274.00,54
11969,600.00,354.00,246.00,49
12019,600.00,364.00,236.00,47
12069,600.00,381.00,219.00,43
12119,600.00,331.00,269.00,53
12169,600.00,392.00,208.00,41
12220,600.00,315.00,285.00,57
12270,600.00,390.00,210.00,42
12320,600.00,359.00,241.00,48
12370,600.00,349.00,251.00,50
12420,600.00,383.00,217.00,43
12470,600.00,323.00,277.00,55
12520,600.00,369.00,231.00,46
12570,600.00,351.00,249.00,49
12620,600.00,390.00,210.00,42
12670,600.00,325.00,275.00,55
12720,600.00,394.00,206.00,41
12770,600.00,311.00,289.00,57
12820,600.00,396.00,204.00,40
12870,600.00,324.00,276.00,55
12920,600.00,404.00,196.00,39
12970,600.00,311.00,289.00,57
13020,600.00,395.00,205.00,41
13070,600.00,336.00,264.00,52
13120,600.00,400.00,200.00,40
13170,600.00,320.00,280.00,56
13220,600.00,401.00,199.00,39
13270,600.00,307.00,293.00,58
13320,600.00,393.00,207.00,41
13370,600.00,359.00,241.00,48
13420,600.00,383.00,217.00,43
13470,600.00,327.00,273.00,54
13520,600.00,388.00,212.00,42
13570,600.00,326.00,274.00,54
13620,600.00,375.00,225.00,45
13671,600.00,374.00,226.00,45
13721,600.00,335.00,265.00,53
13771,600.00,387.00,213.00,42
13821,600.00,320.00,280.00,56
13871,600.00,383.00,217.00,43
13921,600.00,369.00,231.00,46
13971,600.00,371.00,229.00,45
14021,600.00,331.00,269.00,53
14071,600.00,382.00,218.00,43
14121,600.00,347.00,253.00,50
14171,600.00,359.00,241.00,48
14221,600.00,381.00,219.00,43
14271,600.00,354.00,246.00,49
14321,600.00,339.00,261.00,52
14371,600.00,374.00,226.00,45
14421,600.00,375.00,225.00,45
14471,600.00,338.00,262.00,52
14521,600.00,389.00,211.00,42
14571,600.00,346.00,254.00,50
14621,600.00,359.00,241.00,48
14671,600.00,355.00,245.00,49
14721,600.00,388.00,212.00,42
14771,600.00,324.00,276.00,55
14821,600.00,392.00,208.00,41
14871,600.00,338.00,262.00,52
14921,600.00,386.00,214.00,42
14971,600.00,330.00,270.00,54
15021,600.00,399.00,201.00,40
15071,600.00,313.00,287.00,57
15121,600.00,370.00,230.00,46
15171,600.00,352.00,248.00,49
15221,600.00,393.00,207.00,41
15271,600.00,322.00,278.00,55
15321,600.00,396.00,204.00,40
15371,600.00,308.00,292.00,58
15421,600.00,394.00,206.00,41
15471,600.00,329.00,271.00,54
15521,600.00,403.00,197.00,39
15571,600.00,311.00,289.00,57
15621,600.00,396.00,204.00,40
15671,600.00,324.00,276.00,55
15721,600.00,403.00,197.00,39
15771,600.00,317.00,283.00,56
15821,600.00,402.00,198.00,39
15871,600.00,308.00,292.00,58
15921,600.00,394.00,206.00,41
15971,600.00,352.00,248.00,49
16021,600.00,389.00,211.00,42
16071,600.00,324.00,276.00,55
16121,600.00,393.00,207.00,41
16171,600.00,313.00,287.00,57
16221,600.00,386.00,214.00,42
16271,600.00,364.00,236.00,47
16321,600.00,375.00,225.00,45
16371,600.00,331.00,269.00,53
16421,600.00,382.00,218.00,43
16471,600.00,348.00,252.00,50
16521,600.00,359.00,241.00,48
16572,600.00,381.00,219.00,43
16622,600.00,325.00,275.00,55
16672,600.00,389.00,211.00,42
16722,600.00,338.00,262.00,52
16772,600.00,367.00,233.00,46
16822,600.00,375.00,225.00,45
16872,600.00,363.00,237.00,47
16922,600.00,334.00,266.00,53
16972,600.00,378.00,222.00,44
17022,600.00,367.00,233.00,46
17072,600.00,342.00,258.00,51
17122,600.00,387.00,213.00,42
17172,600.00,346.00,254.00,50
17222,600.00,354.00,246.00,49
17272,600.00,360.00,240.00,48
17322,600.00,387.00,213.00,42
17372,600.00,324.00,276.00,55
17422,600.00,394.00,206.00,41
17472,600.00,338.00,262.00,52
17522,600.00,381.00,219.00,43
17572,600.00,335.00,265.00,53
17622,600.00,397.00,203.00,40
17672,600.00,314.00,286.00,57
17722,600.00,395.00,205.00,41
17772,600.00,334.00,266.00,53
17822,600.00,403.00,197.00,39
17872,600.00,315.00,285.00,57
17922,600.00,403.00,197.00,39
17972,600.00,307.00,293.00,58
18023,600.00,392.00,208.00,41
18073,600.00,361.00,239.00,47
18123,600.00,345.00,255.00,51
18173,600.00,386.00,214.00,42
18223,600.00,319.00,281.00,56
18273,600.00,388.00,212.00,42
