Tempo_ms,Setpoint,LDR,Erro,PWM
0,600.00,0.00,600.00,156
50,600.00,492.00,108.00,0
100,600.00,47.00,553.00,129
150,600.00,478.00,122.00,0
200,600.00,52.00,548.00,131
250,600.00,523.00,77.00,0
300,600.00,53.00,547.00,146
350,600.00,528.00,72.00,0
400,600.00,56.00,544.00,153
450,600.00,543.00,57.00,0
500,600.00,59.00,541.00,161
550,600.00,564.00,36.00,0
600,600.00,59.00,541.00,171
650,600.00,560.00,40.00,0
700,600.00,60.00,540.00,176
750,600.00,582.00,18.00,0
800,600.00,63.00,537.00,185
850,600.00,584.00,16.00,0
900,600.00,61.00,539.00,191
950,600.00,593.00,7.00,0
1000,600.00,62.00,538.00,198
1050,600.00,608.00,-8.00,0
1100,600.00,66.00,534.00,206
1150,600.00,604.00,-4.00,0
1200,600.00,63.00,537.00,211
1250,600.00,617.00,-17.00,0
1300,600.00,64.00,536.00,218
1350,600.00,620.00,-20.00,0
1400,600.00,64.00,536.00,224
1450,600.00,625.00,-25.00,0
1500,600.00,65.00,535.00,230
1550,600.00,634.00,-34.00,0
1600,600.00,65.00,535.00,237
1650,600.00,635.00,-35.00,0
1700,600.00,66.00,534.00,242
1750,600.00,642.00,-42.00,0
1800,600.00,67.00,533.00,248
1850,600.00,648.00,-48.00,0
1900,600.00,67.00,533.00,254
1950,600.00,651.00,-51.00,0
2000,600.00,67.00,533.00,255
2050,600.00,651.00,-51.00,0
2100,600.00,68.00,532.00,255
2150,600.00,651.00,-51.00,1
2200,600.00,82.00,518.00,255
2250,600.00,652.00,-52.00,8
2300,600.00,156.00,444.00,251
2350,600.00,649.00,-49.00,28
2400,600.00,286.00,314.00,220
2450,600.00,632.00,-32.00,61
2500,600.00,393.00,207.00,192
2550,600.00,602.00,-2.00,92
2600,600.00,485.00,115.00,164
2650,600.00,584.00,16.00,116
2700,600.00,507.00,93.00,156
2750,600.00,587.00,13.00,121
2801,600.00,508.00,92.00,157
2851,600.00,581.00,19.00,124
2901,600.00,537.00,63.00,150
2951,600.00,553.00,47.00,137
3014,600.00,535.00,65.00,146
3064,600.00,549.00,51.00,139
3114,600.00,560.00,40.00,140
3164,600.00,558.00,42.00,143
3214,600.00,545.00,55.00,146
3264,600.00,577.00,23.00,136
3314,600.00,570.00,30.00,144
3364,600.00,552.00,48.00,148
3414,600.00,562.00,38.00,142
3464,600.00,566.00,34.00,143
3514,600.00,538.00,62.00,152
3564,600.00,586.00,14.00,134
3614,600.00,558.00,42.00,151
3664,600.00,568.00,32.00,144
3714,600.00,550.00,50.00,151
3764,600.00,580.00,20.00,140
3814,600.00,531.00,69.00,159
3864,600.00,591.00,9.00,134
3914,600.00,550.00,50.00,157
3964,600.00,579.00,21.00,141
4014,600.00,540.00,60.00,158
4064,600.00,590.00,10.00,137
4114,600.00,537.00,63.00,161
4164,600.00,584.00,16.00,139
4214,600.00,549.00,51.00,158
4264,600.00,584.00,16.00,142
4314,600.00,535.00,65.00,162
4364,600.00,596.00,4.00,137
4414,600.00,545.00,55.00,163
4465,600.00,578.00,22.00,144
4515,600.00,569.00,31.00,154
4565,600.00,550.00,50.00,157
4615,600.00,592.00,8.00,143
4665,600.00,551.00,49.00,162
4715,600.00,579.00,21.00,147
4765,600.00,553.00,47.00,159
4815,600.00,588.00,12.00,146
4865,600.00,543.00,57.00,164
4915,600.00,595.00,5.00,143
4965,600.00,558.00,42.00,163
5015,600.00,572.00,28.00,152
5065,600.00,551.00,49.00,161
5115,600.00,593.00,7.00,146
5165,600.00,551.00,49.00,165
5215,600.00,587.00,13.00,148
5265,600.00,569.00,31.00,160
5315,600.00,561.00,39.00,159
5365,600.00,556.00,44.00,159
5415,600.00,594.00,6.00,148
5465,600.00,560.00,40.00,165
5515,600.00,578.00,22.00,154
5565,600.00,580.00,20.00,157
5615,600.00,552.00,48.00,165
5665,600.00,571.00,29.00,155
5715,600.00,582.00,18.00,156
5765,600.00,576.00,24.00,160
5815,600.00,566.00,34.00,162
5865,600.00,591.00,9.00,154
5916,600.00,555.00,45.00,168
5966,600.00,598.00,2.00,150
6016,600.00,567.00,33.00,167
6066,600.00,575.00,25.00,159
6116,600.00,588.00,12.00,157
6166,600.00,558.00,42.00,168
6216,600.00,579.00,21.00,157
6266,600.00,577.00,23.00,162
6316,600.00,585.00,15.00,160
6366,600.00,561.00,39.00,168
6416,600.00,599.00,1.00,153
6466,600.00,559.00,41.00,171
6516,600.00,587.00,13.00,156
6566,600.00,568.00,32.00,167
6616,600.00,593.00,7.00,157
6666,600.00,553.00,47.00,173
6716,600.00,605.00,-5.00,151
6766,600.00,564.00,36.00,172
6816,600.00,592.00,8.00,157
6866,600.00,562.00,38.00,171
6916,600.00,600.00,0.00,155
6966,600.00,558.00,42.00,174
7016,600.00,603.00,-3.00,154
7066,600.00,573.00,27.00,171
7116,600.00,594.00,6.00,160
7166,600.00,558.00,42.00,173
7216,600.00,604.00,-4.00,155
7266,600.00,565.00,35.00,174
7316,600.00,593.00,7.00,159
7366,600.00,568.00,32.00,171
7416,600.00,599.00,1.00,159
7466,600.00,559.00,41.00,175
7516,600.00,607.00,-7.00,155
7566,600.00,571.00,29.00,174
7616,600.00,586.00,14.00,163
7666,600.00,565.00,35.00,172
7716,600.00,602.00,-2.00,158
7766,600.00,565.00,35.00,175
7816,600.00,599.00,1.00,159
7866,600.00,580.00,20.00,171
7916,600.00,575.00,25.00,169
7966,600.00,568.00,32.00,170
8016,600.00,603.00,-3.00,160
8066,600.00,573.00,27.00,175
8116,600.00,591.00,9.00,164
8166,600.00,589.00,11.00,168
8216,600.00,565.00,35.00,174
8266,600.00,581.00,19.00,166
8316,600.00,596.00,4.00,165
8366,600.00,584.00,16.00,171
8416,600.00,579.00,21.00,170
8466,600.00,598.00,2.00,165
8516,600.00,568.00,32.00,176
8566,600.00,588.00,12.00,165
8616,600.00,586.00,14.00,170
8666,600.00,592.00,8.00,168
8716,600.00,569.00,31.00,176
8766,600.00,605.00,-5.00,162
8817,600.00,571.00,29.00,178
8867,600.00,602.00,-2.00,163
8917,600.00,585.00,15.00,174
8967,600.00,576.00,24.00,173
9017,600.00,602.00,-2.00,165
9067,600.00,573.00,27.00,177
9117,600.00,592.00,8.00,167
9167,600.00,582.00,18.00,173
9217,600.00,598.00,2.00,167
9267,600.00,564.00,36.00,179
9317,600.00,609.00,-9.00,161
9367,600.00,574.00,26.00,179
9417,600.00,598.00,2.00,166
9467,600.00,573.00,27.00,178
9517,600.00,604.00,-4.00,165
9567,600.00,569.00,31.00,180
9617,600.00,611.00,-11.00,163
9667,600.00,581.00,19.00,179
9717,600.00,601.00,-1.00,168
9767,600.00,568.00,32.00,180
9817,600.00,608.00,-8.00,164
9867,600.00,574.00,26.00,180
9917,600.00,602.00,-2.00,166
9967,600.00,588.00,12.00,176
10017,600.00,601.00,-1.00,170
10067,600.00,571.00,29.00,180
10117,600.00,610.00,-10.00,164
10167,600.00,580.00,20.00,180
10217,600.00,593.00,7.00,170
10268,600.00,595.00,5.00,173
10318,600.00,574.00,26.00,179
10368,600.00,609.00,-9.00,166
10418,600.00,580.00,20.00,180
10468,600.00,596.00,4.00,170
10518,600.00,595.00,5.00,174
10568,600.00,602.00,-2.00,172
10618,600.00,579.00,21.00,179
10668,600.00,609.00,-9.00,167
10718,600.00,586.00,14.00,179
10768,600.00,586.00,14.00,174
10818,600.00,601.00,-1.00,171
10868,600.00,602.00,-2.00,173
10918,600.00,585.00,15.00,178
10968,600.00,599.00,1.00,171
11018,600.00,594.00,6.00,175
11068,600.00,575.00,25.00,179
11118,600.00,608.00,-8.00,167
11168,600.00,601.00,-1.00,175
11218,600.00,591.00,9.00,177
11268,600.00,590.00,10.00,175
11318,600.00,600.00,0.00,172
11368,600.00,574.00,26.00,181
11418,600.00,611.00,-11.00,166
11468,600.00,591.00,9.00,179
11518,600.00,599.00,1.00,173
11568,600.00,578.00,22.00,180
11618,600.00,607.00,-7.00,168
11668,600.00,575.00,25.00,182
11718,600.00,596.00,4.00,171
11768,600.00,588.00,12.00,177
11818,600.00,600.00,0.00,173
11868,600.00,570.00,30.00,183
11918,600.00,611.00,-11.00,166
11968,600.00,578.00,22.00,183
12018,600.00,600.00,0.00,171
12068,600.00,580.00,20.00,181
12118,600.00,606.00,-6.00,170
12168,600.00,574.00,26.00,183
12218,600.00,613.00,-13.00,167
12268,600.00,584.00,16.00,182
12318,600.00,603.00,-3.00,172
12368,600.00,573.00,27.00,183
12418,600.00,610.00,-10.00,168
12468,600.00,577.00,23.00,184
12518,600.00,608.00,-8.00,170
12568,600.00,591.00,9.00,180
12618,600.00,604.00,-4.00,173
12668,600.00,573.00,27.00,184
12718,600.00,613.00,-13.00,168
12768,600.00,583.00,17.00,183
12818,600.00,598.00,2.00,174
12868,600.00,598.00,2.00,177
12918,600.00,604.00,-4.00,175
12968,600.00,582.00,18.00,182
13018,600.00,612.00,-12.00,170
13068,600.00,589.00,11.00,182
13118,600.00,590.00,10.00,177
13169,600.00,604.00,-4.00,174
13219,600.00,580.00,20.00,183
13269,600.00,613.00,-13.00,170
13319,600.00,588.00,12.00,182
13369,600.00,592.00,8.00,177
13419,600.00,603.00,-3.00,175
13469,600.00,605.00,-5.00,176
13519,600.00,587.00,13.00,181
13569,600.00,604.00,-4.00,173
13619,600.00,595.00,5.00,179
13669,600.00,581.00,19.00,181
13719,600.00,609.00,-9.00,171
13769,600.00,604.00,-4.00,178
13819,600.00,593.00,7.00,180
13869,600.00,594.00,6.00,177
13919,600.00,601.00,-1.00,176
13969,600.00,577.00,23.00,183
14019,600.00,612.00,-12.00,170
14069,600.00,598.00,2.00,180
14119,600.00,599.00,1.00,177
14169,600.00,584.00,16.00,181
14219,600.00,607.00,-7.00,172
14269,600.00,578.00,22.00,185
14319,600.00,615.00,-15.00,169
14369,600.00,589.00,11.00,183
14419,600.00,604.00,-4.00,174
14469,600.00,574.00,26.00,185
14519,600.00,612.00,-12.00,170
14569,600.00,582.00,18.00,185
14620,600.00,607.00,-7.00,172
14670,600.00,594.00,6.00,181
14720,600.00,582.00,18.00,181
14770,600.00,609.00,-9.00,172
14820,600.00,582.00,18.00,184
14870,600.00,608.00,-8.00,172
14920,600.00,585.00,15.00,184
14970,600.00,608.00,-8.00,173
15020,600.00,574.00,26.00,187
15070,600.00,615.00,-15.00,169
15120,600.00,584.00,16.00,185
15170,600.00,600.00,0.00,175
15220,600.00,580.00,20.00,184
15270,600.00,609.00,-9.00,172
15320,600.00,579.00,21.00,186
15370,600.00,615.00,-15.00,171
15420,600.00,590.00,10.00,184
15470,600.00,591.00,9.00,179
15520,600.00,578.00,22.00,183
15570,600.00,611.00,-11.00,172
15620,600.00,584.00,16.00,185
15670,600.00,605.00,-5.00,175
15720,600.00,597.00,3.00,181
15770,600.00,581.00,19.00,183
15820,600.00,589.00,11.00,178
15870,600.00,609.00,-9.00,175
15920,600.00,592.00,8.00,183
15970,600.00,595.00,5.00,179
16020,600.00,604.00,-4.00,177
16070,600.00,606.00,-6.00,179
16120,600.00,589.00,11.00,183
16170,600.00,609.00,-9.00,175
16220,600.00,596.00,4.00,182
16270,600.00,587.00,13.00,182
16320,600.00,610.00,-10.00,174
16370,600.00,607.00,-7.00,180
16420,600.00,596.00,4.00,182
16470,600.00,600.00,0.00,179
16520,600.00,604.00,-4.00,178
16570,600.00,579.00,21.00,186
16620,600.00,615.00,-15.00,171
16670,600.00,603.00,-3.00,182
16720,600.00,602.00,-2.00,179
16770,600.00,588.00,12.00,183
16820,600.00,609.00,-9.00,175
16870,600.00,581.00,19.00,186
16920,600.00,616.00,-16.00,172
16970,600.00,595.00,5.00,184
17020,600.00,606.00,-6.00,177
17070,600.00,579.00,21.00,186
17120,600.00,613.00,-13.00,172
17170,600.00,583.00,17.00,186
17220,600.00,611.00,-11.00,173
17270,600.00,588.00,12.00,185
17320,600.00,609.00,-9.00,175
17370,600.00,578.00,22.00,187
17420,600.00,616.00,-16.00,171
17470,600.00,587.00,13.00,186
17521,600.00,602.00,-2.00,177
17571,600.00,602.00,-2.00,180
17621,600.00,582.00,18.00,185
17671,600.00,614.00,-14.00,173
17721,600.00,587.00,13.00,186
17771,600.00,604.00,-4.00,176
17821,600.00,584.00,16.00,185
17871,600.00,611.00,-11.00,174
17921,600.00,581.00,19.00,187
17971,600.00,617.00,-17.00,172
18021,600.00,591.00,9.00,186
18071,600.00,595.00,5.00,179
18121,600.00,579.00,21.00,184
18171,600.00,612.00,-12.00,173
18221,600.00,585.00,15.00,186
18271,600.00,610.00,-10.00,175
18321,600.00,598.00,2.00,183
18371,600.00,586.00,14.00,183
18421,600.00,588.00,12.00,181
18471,600.00,612.00,-12.00,175
18521,600.00,592.00,8.00,185
18571,600.00,600.00,0.00,179
18621,600.00,604.00,-4.00,179
18671,600.00,582.00,18.00,186
18721,600.00,596.00,4.00,178
18771,600.00,607.00,-7.00,178
18821,600.00,598.00,2.00,182
18871,600.00,589.00,11.00,183
18921,600.00,610.00,-10.00,176
18972,600.00,584.00,16.00,187
19022,600.00,617.00,-17.00,173
19072,600.00,593.00,7.00,186
19122,600.00,594.00,6.00,181
19172,600.00,607.00,-7.00,178
19222,600.00,585.00,15.00,186
19272,600.00,599.00,1.00,178
19322,600.00,600.00,0.00,181
19372,600.00,604.00,-4.00,180
19422,600.00,582.00,18.00,186
19472,600.00,613.00,-13.00,174
19522,600.00,586.00,14.00,187
19572,600.00,604.00,-4.00,177
19622,600.00,590.00,10.00,184
19672,600.00,608.00,-8.00,177
19722,600.00,580.00,20.00,188
19772,600.00,617.00,-17.00,173
19822,600.00,589.00,11.00,187
19872,600.00,606.00,-6.00,177
19922,600.00,583.00,17.00,187
19972,600.00,613.00,-13.00,174
20022,600.00,583.00,17.00,188
20072,600.00,618.00,-18.00,173
20122,600.00,593.00,7.00,186
20172,600.00,608.00,-8.00,178
20222,600.00,578.00,22.00,188
20272,600.00,616.00,-16.00,173
20322,600.00,587.00,13.00,188
20372,600.00,608.00,-8.00,176
20422,600.00,586.00,14.00,186
20472,600.00,611.00,-11.00,176
20522,600.00,582.00,18.00,188
20572,600.00,618.00,-18.00,173
20622,600.00,591.00,9.00,187
20672,600.00,598.00,2.00,180
20722,600.00,582.00,18.00,185
20772,600.00,612.00,-12.00,175
20822,600.00,586.00,14.00,187
20872,600.00,612.00,-12.00,175
20922,600.00,597.00,3.00,184
20972,600.00,588.00,12.00,184
21022,600.00,588.00,12.00,182
21072,600.00,612.00,-12.00,176
21122,600.00,592.00,8.00,186
21172,600.00,602.00,-2.00,179
21222,600.00,603.00,-3.00,181
21272,600.00,583.00,17.00,186
21322,600.00,595.00,5.00,180
21372,600.00,612.00,-12.00,178
21422,600.00,598.00,2.00,184
21472,600.00,592.00,8.00,183
21522,600.00,609.00,-9.00,178
21572,600.00,585.00,15.00,187
21622,600.00,601.00,-1.00,178
21672,600.00,600.00,0.00,182
21722,600.00,604.00,-4.00,181
21772,600.00,583.00,17.00,187
21822,600.00,614.00,-14.00,175
21873,600.00,587.00,13.00,188
21923,600.00,612.00,-12.00,176
21973,600.00,598.00,2.00,185
22023,600.00,588.00,12.00,184
22073,600.00,612.00,-12.00,176
22123,600.00,586.00,14.00,188
22173,600.00,604.00,-4.00,178
22223,600.00,594.00,6.00,184
22273,600.00,608.00,-8.00,179
22323,600.00,581.00,19.00,188
22373,600.00,616.00,-16.00,174
22423,600.00,589.00,11.00,188
22473,600.00,607.00,-7.00,178
22523,600.00,586.00,14.00,187
22573,600.00,613.00,-13.00,176
22623,600.00,584.00,16.00,189
22673,600.00,618.00,-18.00,174
22723,600.00,593.00,7.00,187
22773,600.00,609.00,-9.00,178
22823,600.00,579.00,21.00,189
22873,600.00,616.00,-16.00,174
22923,600.00,587.00,13.00,188
22973,600.00,611.00,-11.00,177
23023,600.00,599.00,1.00,184
23073,600.00,608.00,-8.00,180
23123,600.00,585.00,15.00,187
23173,600.00,616.00,-16.00,175
23223,600.00,592.00,8.00,187
23273,600.00,601.00,-1.00,180
23324,600.00,605.00,-5.00,181
23374,600.00,585.00,15.00,187
23424,600.00,616.00,-16.00,175
23474,600.00,591.00,9.00,187
23524,600.00,603.00,-3.00,179
23574,600.00,603.00,-3.00,182
23624,600.00,609.00,-9.00,180
23674,600.00,588.00,12.00,187
23724,600.00,617.00,-17.00,175
23774,600.00,595.00,5.00,186
23824,600.00,594.00,6.00,182
23874,600.00,608.00,-8.00,179
23924,600.00,609.00,-9.00,181
23974,600.00,594.00,6.00,185
24024,600.00,607.00,-7.00,179
24074,600.00,602.00,-2.00,183
24124,600.00,583.00,17.00,186
24174,600.00,613.00,-13.00,175
24224,600.00,608.00,-8.00,182
24274,600.00,599.00,1.00,183
24324,600.00,596.00,4.00,182
24374,600.00,607.00,-7.00,179
24424,600.00,583.00,17.00,187
24474,600.00,616.00,-16.00,174
24524,600.00,601.00,-1.00,185
24574,600.00,605.00,-5.00,181
